iter	Passed	Remaining
266	1160	3186
267	1164	3180
268	1167	3173
269	1171	3167
270	1174	3160
271	1178	3153
272	1181	3147
273	1185	3140
274	1188	3134
275	1192	3127
276	1195	3120
277	1199	3114
278	1202	3107
279	1205	3100
280	1209	3094
281	1212	3088
282	1216	3082
283	1220	3076
284	1223	3070
285	1226	3062
286	1230	3057
287	1234	3051
288	1237	3045
289	1253	3069
290	1260	3070
291	1264	3065
292	1267	3058
293	1271	3052
294	1274	3046
295	1278	3039
296	1281	3033
297	1285	3028
298	1289	3023
299	1293	3017
300	1295	3009
301	1299	3003
302	1303	2997
303	1306	2991
304	1310	2985
305	1313	2979
306	1317	2974
307	1320	2967
308	1324	2962
309	1328	2956
310	1332	2951
311	1335	2945
312	1339	2939
313	1342	2932
314	1345	2926
315	1349	2921
316	1353	2915
317	1356	2910
318	1360	2904
319	1364	2898
320	1367	2892
321	1371	2887
322	1374	2881
323	1378	2876
324	1381	2869
325	1385	2863
326	1388	2857
327	1392	2852
328	1395	2846
329	1398	2840
330	1402	2835
331	1406	2830
332	1410	2825
333	1414	2819
334	1417	2813
335	1421	2808
336	1424	2802
337	1427	2796
338	1431	2790
339	1434	2785
340	1438	2779
341	1441	2773
342	1445	2769
343	1449	2763
344	1452	2757
345	1456	2752
346	1459	2746
347	1462	2740
348	1466	2735
349	1470	2730
350	1473	2724
351	1477	2719
352	1480	2713
353	1483	2707
354	1487	2702
355	1490	2696
356	1493	2690
357	1497	2685
358	1501	2680
359	1504	2674
360	1507	2669
361	1511	2663
362	1514	2658
363	1518	2652
364	1521	2647
365	1524	2641
366	1528	2636
367	1531	2630
368	1535	2625
369	1546	2633
370	1555	2636
371	1559	2632
372	1562	2626
373	1566	2621
374	1570	2616
375	1573	2611
376	1577	2606
377	1580	2599
378	1584	2595
379	1587	2589
380	1590	2584
381	1594	2580
382	1598	2575
383	1601	2569
384	1609	2570
385	1612	2565
386	1616	2561
387	1620	2556
388	1624	2551
389	1627	2546
390	1630	2540
391	1634	2535
392	1641	2534
393	1644	2530
394	1657	2539
395	1667	2544
396	1678	2549
397	1690	2557
398	1702	2564
399	1710	2566
400	1721	2571
401	1730	2574
402	1733	2567
403	1738	2565
404	1742	2559
405	1745	2553
406	1755	2557
407	1766	2563
408	1776	2566
409	1780	2562
410	1784	2557
411	1787	2551
412	1791	2546
413	1795	2541
414	1798	2535
415	1802	2529
416	1805	2524
417	1808	2518
418	1812	2513
419	1816	2508
420	1819	2502
421	1822	2496
422	1826	2491
423	1829	2485
424	1833	2480
425	1837	2475
426	1840	2470
427	1844	2465
428	1848	2459
429	1851	2453
430	1857	2451
431	1860	2446
432	1864	2441
433	1868	2436
434	1871	2431
435	1877	2429
436	1881	2424
437	1885	2418
438	1889	2414
439	1892	2408
440	1895	2402
441	1899	2398
442	1902	2392
443	1905	2386
444	1909	2381
445	1913	2376
446	1916	2370
447	1920	2366
448	1923	2360
449	1926	2355
450	1930	2350
451	1934	2345
452	1937	2339
453	1941	2335
454	1944	2329
455	1954	2332
456	1972	2343
457	1982	2346
458	1986	2341
459	1990	2336
460	1994	2331
461	1997	2326
462	2001	2320
463	2004	2315
464	2007	2310
465	2011	2304
466	2014	2299
467	2018	2294
468	2021	2288
469	2024	2283
470	2028	2278
471	2032	2273
472	2035	2267
473	2038	2262
474	2042	2257
475	2045	2252
476	2052	2250
477	2056	2245
478	2059	2240
479	2064	2236
480	2068	2232
481	2073	2227
482	2077	2223
483	2081	2218
484	2085	2214
485	2095	2216
486	2099	2211
487	2102	2206
488	2106	2200
489	2109	2195
490	2112	2190
491	2116	2184
492	2119	2179
493	2122	2174
494	2126	2169
495	2130	2164
496	2133	2159
497	2137	2154
498	2140	2149
499	2144	2144
500	2147	2138
501	2151	2133
502	2154	2128
503	2158	2123
504	2162	2119
505	2165	2114
506	2169	2109
507	2172	2104
508	2176	2099
509	2180	2094
510	2183	2089
511	2187	2084
512	2190	2079
513	2194	2074
514	2197	2069
515	2200	2064
516	2204	2059
517	2207	2054
518	2210	2049
519	2213	2043
520	2217	2038
521	2221	2033
522	2224	2028
523	2227	2023
524	2231	2018
525	2234	2013
526	2243	2013
527	2248	2010
528	2262	2014
529	2265	2008
530	2268	2003
531	2280	2006
532	2290	2006
533	2300	2007
534	2313	2010
535	2318	2006
536	2329	2008
537	2341	2010
538	2353	2012
539	2362	2012
540	2366	2007
541	2377	2008
542	2388	2009
543	2396	2009
544	2399	2003
545	2403	1998
546	2406	1993
547	2410	1988
548	2414	1983
549	2417	1978
550	2420	1972
551	2424	1967
552	2427	1962
553	2431	1957
554	2434	1951
555	2438	1947
556	2441	1941
557	2444	1936
558	2448	1931
559	2451	1926
560	2455	1921
561	2458	1916
562	2462	1911
563	2466	1906
564	2469	1901
565	2472	1896
566	2476	1891
567	2479	1886
568	2483	1880
569	2486	1876
570	2490	1871
571	2493	1865
572	2497	1861
573	2500	1855
574	2504	1851
575	2508	1846
576	2511	1841
577	2514	1836
578	2518	1831
579	2521	1826
580	2525	1821
581	2528	1816
582	2532	1811
583	2535	1805
584	2538	1800
585	2541	1795
586	2545	1790
587	2548	1785
588	2552	1780
589	2555	1775
590	2558	1770
591	2561	1765
592	2565	1760
593	2568	1755
594	2571	1750
595	2575	1745
596	2578	1740
597	2582	1736
598	2585	1731
599	2589	1726
600	2592	1721
601	2596	1716
602	2599	1711
603	2603	1706
604	2606	1701
605	2610	1697
606	2614	1692
607	2617	1687
608	2620	1682
609	2624	1678
610	2628	1673
611	2631	1668
612	2635	1663
613	2638	1658
614	2642	1653
615	2645	1649
616	2649	1644
617	2652	1639
618	2656	1635
619	2659	1630
620	2663	1625
621	2667	1620
622	2674	1618
623	2677	1613
624	2681	1609
625	2684	1604
626	2688	1599
627	2692	1594
628	2695	1589
629	2698	1584
630	2701	1580
631	2705	1575
632	2708	1570
633	2712	1565
634	2715	1561
635	2719	1556
636	2722	1551
637	2726	1547
638	2729	1542
639	2732	1537
640	2736	1532
641	2739	1527
642	2743	1523
643	2746	1518
644	2750	1513
645	2753	1509
646	2757	1504
647	2760	1499
648	2763	1494
649	2767	1490
650	2770	1485
651	2774	1480
652	2785	1480
653	2789	1475
654	2800	1475
655	2813	1475
656	2824	1474
657	2834	1473
658	2844	1472
659	2849	1467
660	2853	1463
661	2864	1462
662	2870	1458
663	2874	1454
664	2885	1453
665	2896	1452
666	2904	1449
667	2907	1444
668	2911	1440
669	2914	1435
670	2918	1430
671	2921	1425
672	2925	1421
673	2942	1423
674	2953	1422
675	2961	1419
676	2970	1417
677	2973	1412
678	2977	1407
679	2980	1402
680	2984	1397
681	2988	1393
682	2991	1388
683	2995	1383
684	2998	1378
685	3001	1374
686	3004	1369
687	3008	1364
688	3011	1359
689	3015	1354
690	3019	1350
691	3022	1345
692	3026	1340
693	3029	1335
694	3033	1331
695	3037	1326
696	3040	1321
697	3043	1316
698	3047	1312
699	3050	1307
700	3054	1302
701	3057	1298
702	3061	1293
703	3078	1294
704	3094	1294
705	3098	1290
706	3101	1285
707	3105	1280
708	3108	1275
709	3112	1271
710	3115	1266
711	3119	1261
712	3123	1257
713	3126	1252
714	3129	1247
715	3133	1242
716	3136	1238
717	3140	1233
718	3144	1228
719	3147	1223
720	3151	1219
721	3154	1214
722	3158	1210
723	3161	1205
724	3165	1200
725	3168	1195
726	3172	1191
727	3175	1186
728	3178	1181
729	3182	1177
730	3186	1172
731	3189	1167
732	3193	1163
733	3196	1158
734	3199	1153
735	3203	1149
736	3206	1144
737	3210	1139
738	3213	1134
739	3216	1130
740	3220	1125
741	3223	1120
742	3227	1116
743	3230	1111
744	3234	1107
745	3237	1102
746	3241	1097
747	3244	1093
748	3253	1090
749	3264	1088
750	3268	1083
751	3272	1079
752	3275	1074
753	3278	1069
754	3282	1065
755	3286	1060
756	3289	1055
757	3292	1051
758	3296	1046
759	3303	1043
760	3315	1041
761	3326	1039
762	3338	1036
763	3347	1034
764	3357	1031
765	3363	1027
766	3371	1024
767	3383	1022
768	3396	1020
769	3407	1017
770	3419	1015
771	3432	1013
772	3444	1011
773	3449	1007
774	3456	1003
775	3467	1001
776	3479	998
777	3489	995
778	3498	992
779	3502	987
780	3505	983
781	3509	978
782	3512	973
783	3516	968
784	3519	964
785	3523	959
786	3526	954
787	3529	949
788	3533	944
789	3536	940
790	3540	935
791	3543	930
792	3546	925
793	3550	921
794	3554	916
795	3557	911
796	3561	907
797	3564	902
798	3568	897
799	3572	893
800	3575	888
801	3578	883
802	3582	878
803	3585	874
804	3589	869
805	3593	864
806	3596	860
807	3600	855
808	3603	850
809	3606	846
810	3610	841
811	3613	836
812	3619	832
813	3622	827
814	3626	823
815	3629	818
816	3633	813
817	3637	809
818	3640	804
819	3643	799
820	3647	795
821	3650	790
822	3654	785
823	3657	781
824	3661	776
825	3664	772
826	3668	767
827	3672	762
828	3675	758
829	3679	753
830	3682	748
831	3686	744
832	3689	739
833	3693	735
834	3696	730
835	3700	725
836	3703	721
837	3706	716
838	3710	711
839	3714	707
840	3717	702
841	3720	698
842	3724	693
843	3727	689
844	3731	684
845	3737	680
846	3741	675
847	3745	671
848	3748	666
849	3752	662
850	3756	657
851	3759	653
852	3763	648
853	3766	643
854	3770	639
855	3773	634
856	3777	630
857	3780	625
858	3783	621
859	3787	616
860	3791	612
861	3794	607
862	3798	603
863	3801	598
864	3805	593
865	3809	589
866	3812	584
867	3816	580
868	3819	575
869	3822	571
870	3826	566
871	3830	562
872	3833	557
873	3837	553
874	3841	548
875	3844	544
876	3848	539
877	3852	535
878	3855	530
879	3858	526
880	3862	521
881	3866	517
882	3869	512
883	3873	508
884	3876	503
885	3880	499
886	3883	494
887	3887	490
888	3890	485
889	3893	481
890	3896	476
891	3899	472
892	3921	469
893	3929	465
894	3941	462
895	3947	458
896	3951	453
897	3954	449
898	3958	444
899	3962	440
900	3965	435
901	3969	431
902	3973	426
903	3976	422
904	3979	417
905	3983	413
906	3986	408
907	3989	404
908	3993	399
909	3996	395
910	4000	390
911	4004	386
912	4007	381
913	4010	377
914	4013	372
915	4019	368
916	4022	364
917	4026	359
918	4029	355
919	4032	350
920	4036	346
921	4039	341
922	4043	337
923	4047	332
924	4050	328
925	4053	323
926	4057	319
927	4061	315
928	4066	310
929	4070	306
930	4074	302
931	4079	297
932	4082	293
933	4093	289
934	4096	284
935	4099	280
936	4103	275
937	4106	271
938	4110	267
939	4114	262
940	4118	258
941	4121	253
942	4125	249
943	4128	244
944	4132	240
945	4135	236
946	4138	231
947	4142	227
948	4145	222
949	4149	218
950	4152	213
951	4155	209
952	4159	205
953	4162	200
954	4166	196
955	4170	191
956	4174	187
957	4177	183
958	4180	178
959	4183	174
960	4187	169
961	4190	165
962	4194	161
963	4197	156
964	4201	152
965	4204	147
966	4208	143
967	4211	139
968	4215	134
969	4219	130
970	4222	126
971	4226	121
972	4229	117
973	4233	113
974	4236	108
975	4240	104
976	4246	99
977	4256	95
978	4264	91
979	4267	87
980	4271	82
981	4274	78
982	4278	73
983	4281	69
984	4285	65
985	4288	60
986	4292	56
987	4295	52
988	4299	47
989	4302	43
990	4305	39
991	4309	34
992	4312	30
993	4316	26
994	4319	21
995	4323	17
996	4326	13
997	4330	8
998	4333	4
999	4337	0
